,Generación,Costo promedio,Costo mínimo
0,0,757516.1951219512,648262
1,1,727508.7703252033,648262
2,2,706248.5548780488,603328
3,3,685511.25,596973
4,4,668412.075203252,583248
5,5,651791.6829268293,543342
6,6,634344.337398374,552881
7,7,618786.1117886179,538880
8,8,602773.7235772358,513728
9,9,589796.0630081301,518963
10,10,576357.9390243902,496691
11,11,565083.5792682926,489101
12,12,555967.9369918699,480388
13,13,545896.987804878,473198
14,14,535203.0955284553,469042
15,15,525489.7764227642,448358
16,16,516671.52845528454,420773
17,17,507318.21341463417,425320
18,18,499139.9979674797,415460
19,19,491472.48170731706,409666
20,20,482507.43089430896,419198
21,21,471861.5,385391
22,22,464084.2926829268,374278
23,23,456569.98577235773,373247
24,24,449429.01219512196,374278
25,25,440542.89227642276,364275
26,26,430836.1361788618,347231
27,27,425086.412601626,349346
28,28,417123.7825203252,342366
29,29,410926.993902439,335362
30,30,405221.9430894309,315324
31,31,Infinity,324480
32,32,393872.75,319755
33,33,Infinity,323010
34,34,383644.5833333333,315416
35,35,376650.02032520325,296045
36,36,369874.05081300816,304893
37,37,364769.59146341466,292880
38,38,360076.7886178862,276475
39,39,355733.72154471546,266880
40,40,350579.5304878049,266880
41,41,Infinity,253474
42,42,Infinity,250340
43,43,Infinity,255024
44,44,Infinity,246204
45,45,324686.7540650407,247697
46,46,Infinity,247297
47,47,Infinity,241759
48,48,Infinity,239364
49,49,Infinity,241031
50,50,Infinity,235612
51,51,Infinity,230178
52,52,Infinity,236012
53,53,Infinity,233839
54,54,Infinity,224255
55,55,Infinity,223622
56,56,Infinity,223949
57,57,Infinity,220766
58,58,Infinity,215017
59,59,Infinity,215017
60,60,Infinity,204127
61,61,Infinity,206095
62,62,Infinity,203435
63,63,Infinity,194060
64,64,Infinity,197310
65,65,Infinity,191955
66,66,Infinity,187784
67,67,Infinity,178260
68,68,Infinity,170459
69,69,Infinity,178697
70,70,Infinity,177772
71,71,Infinity,183446
72,72,Infinity,174540
73,73,Infinity,175468
74,74,Infinity,174292
75,75,Infinity,176393
76,76,Infinity,173236
77,77,Infinity,175481
78,78,Infinity,171378
79,79,Infinity,171698
80,80,Infinity,174880
81,81,Infinity,171285
82,82,Infinity,164804
83,83,Infinity,173264
84,84,Infinity,174118
85,85,Infinity,171974
86,86,Infinity,171089
87,87,Infinity,161576
88,88,Infinity,168971
89,89,Infinity,164103
90,90,Infinity,170374
91,91,Infinity,162771
92,92,Infinity,161871
93,93,Infinity,162715
94,94,Infinity,153816
95,95,Infinity,166366
96,96,Infinity,160325
97,97,Infinity,158823
98,98,Infinity,155910
99,99,Infinity,149432
100,100,Infinity,155975
101,101,Infinity,150594
102,102,Infinity,148714
103,103,Infinity,145134
104,104,Infinity,152141
105,105,Infinity,146800
106,106,Infinity,138177
107,107,Infinity,140701
108,108,Infinity,146161
109,109,Infinity,148629
110,110,Infinity,152406
111,111,Infinity,143146
112,112,Infinity,148393
113,113,Infinity,142571
114,114,Infinity,140105
115,115,Infinity,149372
116,116,Infinity,144702
117,117,Infinity,140314
118,118,Infinity,141166
119,119,Infinity,141027
120,120,Infinity,144602
121,121,Infinity,146736
122,122,Infinity,143955
123,123,Infinity,140822
124,124,Infinity,141708
125,125,Infinity,143344
126,126,Infinity,137023
127,127,Infinity,140565
128,128,Infinity,128910
129,129,Infinity,131381
130,130,Infinity,146741
131,131,Infinity,130610
132,132,Infinity,130610
133,133,Infinity,130552
134,134,Infinity,130459
135,135,Infinity,143797
136,136,Infinity,131369
137,137,Infinity,147484
138,138,Infinity,144128
139,139,Infinity,146473
140,140,Infinity,142813
141,141,Infinity,143058
142,142,Infinity,137948
143,143,Infinity,142634
144,144,Infinity,138084
145,145,Infinity,135477
146,146,Infinity,137390
147,147,Infinity,129679
148,148,Infinity,132330
149,149,Infinity,133055
150,150,Infinity,132206
151,151,Infinity,136998
152,152,Infinity,140224
153,153,Infinity,129932
154,154,Infinity,128064
155,155,Infinity,137408
156,156,Infinity,128704
157,157,Infinity,128704
158,158,Infinity,128704
159,159,Infinity,128704
160,160,Infinity,131488
161,161,Infinity,131488
162,162,Infinity,131488
163,163,Infinity,131488
164,164,Infinity,128937
165,165,Infinity,124239
166,166,Infinity,124239
167,167,Infinity,123058
168,168,Infinity,133837
169,169,Infinity,127306
170,170,Infinity,140096
171,171,Infinity,137389
172,172,Infinity,136560
173,173,Infinity,136810
174,174,Infinity,128175
175,175,Infinity,136137
176,176,Infinity,135884
177,177,Infinity,134741
178,178,Infinity,134741
179,179,Infinity,129283
180,180,Infinity,131540
181,181,Infinity,134568
182,182,Infinity,133311
183,183,Infinity,133311
184,184,Infinity,130530
185,185,Infinity,132547
186,186,Infinity,129245
187,187,Infinity,130663
188,188,Infinity,127903
189,189,Infinity,115701
190,190,Infinity,112465
191,191,Infinity,125214
192,192,Infinity,125214
193,193,Infinity,121517
194,194,Infinity,127423
195,195,Infinity,121069
196,196,Infinity,121069
197,197,Infinity,121889
198,198,Infinity,121889
199,199,Infinity,124667
200,200,Infinity,129804
